Year,Position,Team Name,Bed Number,Category,Time (Minutes),Time (Seconds)
2003,1,HARROGATE HARRIERS,None,None,14,2
2003,2,SQUASHED BALLS,None,None,15,11
2003,3,CRAG RATS,None,None,15,47
2003,4,GUARDIAN ALARMS,None,None,15,47
2003,5,NIDD VALLEY RACERS,None,None,15,48
2003,6,SQUASHED HEARTS,None,None,16,18
2003,7,NIPPERS BALD ROOM DANCERS,None,None,16,30
2003,8,ABBSON ATHLETIC,None,None,16,35
2003,9,FOREST SCHOOL FLYERS,None,None,16,35
2003,10,PICCADILLY MEN,None,None,16,47
2003,11,SHAMROCK VET. CLINIC,None,None,16,50
2003,12,LOCK STOCK & SIX FLOATING BARRELS,None,None,16,55
2003,13,DALESIDE BREWERY PUSHERS,None,None,17,33
2003,14,WACKY RACERS,None,None,17,40
2003,15,MARKET MARAUDERS,None,None,17,42
2003,16,RACING PAWS (POSH PAWS),None,None,17,46
2003,17,THE BOX,None,None,17,49
2003,18,HAIR BEAR BUNCH,None,None,17,54
2003,19,DIESELS COOL RUNNINGS,None,None,18,2
2003,20,MOTHER SHIPTON INN,None,None,18,39
2003,21,MOORES FURNITURE GROUP,None,None,18,52
2003,22,HOSPITAL RUNNING CREW,None,None,18,59
2003,23,STAUNCH.COM,None,None,19,7
2003,24,DUKES OF HAZZARD,None,None,19,11
2003,25,THE WELLY WHEELERS,None,None,19,16
2003,26,KRUFC (1),None,None,19,20
2003,27,MISS KELLY'S HEROES,None,None,19,33
2003,28,NIPPERS FIXIN'VIXENS,None,None,19,45
2003,29,MHS CONTRACTORS,None,None,19,49
2003,30,MENWITH HILL RUGGERS,None,None,19,51
2003,31,FUZZY DUCKS,None,None,20,3
2003,32,MACK'S POWER,None,None,20,34
2003,33,YORKSHIRE DALES CARAVAN CLUB,None,None,20,37
2003,34,MEDWAY DRUNKEN SAILORS,None,None,20,39
2003,35,ST MARYS GOLDEN GIRLS,None,None,20,47
2003,36,ASPIN ANGELS,None,None,21,20
2003,37,ASPIN DEVILS,None,None,22,5
2003,38,BAYWATCH BABES,None,None,24,7
2003,39,THE CASTLE CRUISERS,None,None,24,19
2003,40,NIPPERS BAD GIRLS,None,None,25,0
2003,41,SIX PACK AND SOME NUTS,None,None,25,48
2003,42,ST JOHNS YOUTH ONE,None,None,26,28
2003,43,DUKES OF HAZARD LL,None,None,26,58
2003,44,ST JOHNS YOUTH TWO,None,None,27,36
2003,45,KIDS AT HEART,None,None,30,34
2003,46,FARNDALE FILLIES,None,None,30,36
2004,1,HARROGATE HARRIERS,None,None,13,57
2004,2,SQUASHED BALLS,None,None,14,18
2004,3,GUARDIAN ALARMS,None,None,15,44
2004,4,ABBSON STAINLESS,None,None,15,45
2004,5,CELTIC WARRIORS,None,None,16,10
2004,6,LOCK STOCK AND SIX FLOATING BARRELS,None,None,16,13
2004,7,WACKY RACERS,None,None,16,19
2004,8,SQUASHED HEARTS,None,None,16,22
2004,9,SHAMROCK VETS,None,None,16,22
2004,10,THE FELLOWSHIP,None,None,16,23
2004,11,NIDD VALLEY RACERS,None,None,16,30
2004,12,WILLY'S WONKAS,None,None,16,38
2004,13,DALESIDE BREWERY,None,None,16,38
2004,14,THE BOYZ,None,None,16,39
2004,15,BEBRA BEAVERS,None,None,16,54
2004,16,LINK INTERCHANGE,None,None,16,55
2004,17,PICCADILLY MOTORS LTD,None,None,17,0
2004,18,KNARESBOROUGH CHURCHES TOGETHER,None,None,17,12
2004,19,HARROGATE BOXING CLUB,None,None,17,13
2004,20,CHRIS JONES TAE-KWON-DO SCHOOL,None,None,17,16
2004,21,MENWITH HILL RUGGERS,None,None,17,48
2004,22,KRUFC NO.1,None,None,17,53
2004,23,HAIR BEAR BUNCH,None,None,17,54
2004,24,MUCKS SHIFTERS,None,None,18,6
2004,25,YOUNG ONES,None,None,18,15
2004,26,MOORES FURNITURE GROUP,None,None,18,27
2004,27,THE WELLY WHEELERS,None,None,18,32
2004,28,WHITE ROSE CUTTING FORMS,None,None,18,33
2004,29,ST MARYS GOLDEN GIRLS,None,None,18,38
2004,30,THE NERO EXPRESS,None,None,18,45
2004,31,YORKSHIRE DALES CARAVAN CLUB,None,None,18,54
2004,32,NIDD VALLEY LADIES,None,None,19,5
2004,33,MOTHER SHIPTON INN,None,None,19,15
2004,34,THE UGLY DUCKLINGS,None,None,19,24
2004,35,MHS CONTRACTORS,None,None,19,33
2004,36,CANDLELIGHTERS ALLSTARS,None,None,19,51
2004,37,MACKS POWER 11,None,None,20,18
2004,38,BONE SHAKERS,None,None,20,57
2004,39,ASPIN ANGELS,None,None,22,27
2004,40,RAILWAY SLEEPERS,None,None,22,41
2004,41,CASTLE CRUISERS,None,None,22,57
2004,42,THE HART,None,None,23,40
2004,43,THE EUROPCAR EXPRESS,None,None,25,2
2004,44,BETTYS BED-ROCKING BABES,None,None,25,15
2004,45,THE PINK PUMAS,None,None,25,33
2004,46,DALES UNIT DASHERS,None,None,27,6
2004,47,ASPIN DEVILS,None,None,27,36
